ticker,size,atr_factor,entry_atr_factor,rrr,return,max_dd,avg_dd,sharpe,win_rate,expectancy
XAUUSD,12,2.2500000000000018,1.2250000000000005,2.75,102.18579445836633,-22.258543690421252,-1.2957830845364626,1.340202116413027,41.62162162162162,0.40712443791969466
XAUUSD,40,2.450000000000002,1.0000000000000004,2.75,306.2259290771496,-60.14388344731499,-2.817676276237045,0.7335376584872321,39.86013986013986,0.45198731464415115
XAUUSD,48,1.550000000000001,1.0500000000000005,1.3,78.9442139221881,-37.0792393443094,-2.940532939637752,0.5386931320077244,49.37238493723849,0.027946082168026368
XAUUSD,28,1.9500000000000013,0.7250000000000002,1.6,25.623023477355673,-18.91594099200177,-2.050359027486245,0.908358029845399,40.849673202614376,0.02511751025460428
AUDJPY,850,1.9000000000000012,0.525,2.9,169.4092093130816,-27.161687804513868,-2.0448273320374724,1.2212823841017129,40.42553191489361,0.27768114604407323
GBPJPY,300,1.8000000000000012,0.7250000000000002,2.25,60.081353293662744,-23.10233831555545,-1.4488157322971515,0.9853621057635815,36.12040133779264,0.070108227570535
NZDJPY,800,1.9500000000000013,1.1250000000000004,2.5,159.70346491071547,-30.06001453379473,-1.7632930168836256,1.2611718052162795,36.72566371681416,0.19317237044593594
CHFJPY,700,1.4500000000000008,0.5,2.95,64.09685625000202,-21.407420235767827,-2.0531997924666165,0.901008544191786,30.935251798561154,0.07778649946570117
NZDCAD,800,1.1999999999999997,0.175,2.9,0.08713389310716593,-0.09148638688498689,-0.0049333630752163736,1.704818342966396,31.043956043956044,0.007203482350989898
NZDUSD,700,1.8999999999999997,1.0999999999999996,2.75,0.15498420702500879,-0.11487703058499221,-0.006201121048711677,2.3755680765139866,31.372549019607842,0.03526958036712253
NZDCAD,1000,1.8999999999999997,0.9999999999999999,2.75,0.07614982464278,-0.1898042892765961,-0.012138904420610188,0.7961431895208997,31.9047619047619,0.008996982654078377
NZDUSD,9000,1.8999999999999997,0.6749999999999999,2.7,1.462206634232025,-1.632080406372527,-0.10064131657726945,1.3342490940407592,35.1063829787234,0.029538251247751498
NZDCAD,7500,1.9499999999999995,0.27499999999999997,2.65,1.4315344987500067,-1.9303778931616833,-0.06492854204313016,1.0875649243679948,31.097560975609756,0.02842151817306477
NZDUSD,1500,1.6499999999999997,0.27499999999999997,2.25,0.713370048790257,-0.28097968542949436,-0.011763849899929936,2.742952037197191,43.06569343065693,0.11459473422150863
NZDCAD,3000,1.8499999999999996,0.32499999999999996,2.35,-13.812267283928211,-13.855167283928226,-13.855167283928226,-11.740657191231344,7.296137339055794,-0.47610386121888437
ETHUSD,24,1.7499999999999996,0.15,2.8,9.965340179207226,-14.946318461247564,-1.1467638630870653,0.8099055856594759,30.0,0.09822098346538612
BTCUSD,12,1.6999999999999995,0.5249999999999999,1.3,196.05849080750906,-53.67969394136052,-6.823436235835158,0.3018032188775049,46.3855421686747,0.14792174384453746
ETHUSD,75,1.7999999999999996,0.8999999999999998,2.1,-11.156352139285751,-56.51747637960415,-5.400194055402752,-0.2200105672603277,34.5679012345679,-0.06439438231272408
BTCUSD,3,0.7999999999999998,0.19999999999999998,1.35,27.236221393177285,-22.10353184739461,-1.7657449692856098,0.7491423801706895,44.48,0.0469775439120202
