ticker,size,atr_factor,entry_atr_factor,rrr,return,max_dd,avg_dd,sharpe,win_rate,expectancy
USDJPY,150,0.36000000000000004,0.01,1.2,116.04607274508886,-10.195650276189117,-0.4359392816058228,2.335439991326356,56.34635149023638,0.014263049346804202
EURJPY,200,0.060000000000000005,0.01,2.2,81.32068109573228,-20.049129410683342,-0.8798094652175776,1.103932449694153,41.34130982367758,0.00805459658927264
GBPJPY,150,0.060000000000000005,0.05,1.5,80.62902266254656,-17.815339423049494,-0.7978910444693892,1.1223985627317687,50.70555032925682,0.007640365117286618
AUDJPY,150,0.060000000000000005,0.03,2.0,58.516903055154614,-9.968051671940026,-0.648066700628149,1.690223155564477,41.933621933621936,0.011964577839648426
NZDJPY,250,1.76,0.04,1.3,87.42270421714842,-14.085122478697464,-0.7204697583090865,1.3667650659943953,48.401826484018265,0.03679555703916838
