ticker,size,atr_factor,entry_atr_factor,rrr,return,max_dd,avg_dd,sharpe,win_rate,expectancy
USDJPY=X,50,0.22,0.03,1.2000000000000002,5.675977466536679,-0.7809509808488158,-0.1438448307091313,5.893680137012001,68.18181818181817,0.07038822180921364
EURJPY=X,50,0.02,0.2,1.3000000000000003,2.639224212450681,-0.9479548419325301,-0.20271058895162938,2.367788951726748,54.86725663716814,0.02953673589857435
GBPJPY=X,450,0.42000000000000004,0.06999999999999999,1.0,24.724067731981357,-8.701003973615485,-2.052614770927219,1.5766440234382417,63.24786324786324,0.02487066198127683
