ticker,size,atr_factor,entry_atr_factor,rrr,return,max_dd,avg_dd,sharpe,win_rate,expectancy
USDJPY=X,100,0.19999999999999998,0.09999999999999999,1.2000000000000002,9.262881737693334,-1.5650746879836253,-0.3222226127634467,4.3291835572397375,63.63636363636363,0.057743564290984144
EURJPY=X,40,0.04,0.34,1.0,1.835448910826035,-0.8622526685163723,-0.15581432797922234,2.4481180686638586,60.17699115044248,0.025727353814025244
GBPJPY=X,30,0.16,0.06999999999999999,1.4000000000000004,1.4807010395278484,-0.8197782484896554,-0.18197420145487345,2.462765102011011,56.25,0.023464227956903578
