ticker,size,atr_factor,entry_atr_factor,rrr,return,max_dd,avg_dd,sharpe,win_rate,expectancy
EURUSD,19000,1.4000000000000006,0.15000000000000002,2.100000000000001,-17.31539021741126,-25.60907116164627,-2.187713986145633,-0.6917947994075314,36.36363636363637,-0.011567717931300238
GBPUSD,5000,1.3500000000000005,0.6500000000000002,1.2000000000000002,-12.983875050893767,-17.76833399939686,-0.8254727128278109,-1.0445484727140721,46.628131021194605,-0.0190762885974486
NZDUSD,2000,0.40000000000000013,0.4250000000000001,3.0000000000000018,-3.510329529821611,-4.054387289786188,-0.4339990461863963,-1.4860217089593484,26.6304347826087,-0.03044338139954417
AUDUSD,3000,1.5500000000000005,0.25000000000000006,1.4000000000000004,-3.658185312053883,-4.714228244620466,-0.5119487373069738,-0.9909737323960384,44.37939110070258,-0.02099947724476169
USDCAD,1500,0.3500000000000001,0.05,2.9000000000000017,-5.586180616540369,-5.63853815866493,-1.9017320502035269,-3.362233766798056,29.5959595959596,-0.02758915950336899
USDCHF,5000,1.1500000000000004,0.2750000000000001,1.1,-22.38334500870574,-23.323815257417923,-1.5486483296239715,-4.297269892425458,45.98337950138504,-0.04516575437325825
USDZAR,12000,1.2000000000000004,0.4500000000000001,2.000000000000001,-65.46763762179052,-78.7003238616265,-11.55242600127115,-0.36930458315024656,30.612244897959183,-0.06120861497844381
USDNOK,5000,0.25000000000000006,0.32500000000000007,2.100000000000001,-90.41032007154108,-90.92560526217771,-26.41645649487262,-3.9899666634849327,20.5607476635514,-0.16189829334737577
USDSEK,12500,1.4000000000000006,0.22500000000000003,1.2000000000000002,-76.42236234933948,-86.29080585267333,-9.714402538751576,-0.7936694517787535,50.59880239520959,-0.016183547236471328
EURUSD,19500,1.9500000000000006,0.4250000000000001,3.8000000000000025,10.998808900043986,-26.04184874115756,-1.5185474501640828,0.26540354737196464,22.8643216080402,0.015230221310349049
EURUSD,1000,1.7000000000000006,0.05,1.3000000000000003,0.13462545683039934,-1.059625605897474,-0.045419757764459875,0.1532714050432564,50.87939698492462,0.0027600932194741037
EURUSD,16500,1.8000000000000007,0.12500000000000003,1.3000000000000003,3.220542723379949,-14.012725515323577,-0.8012925437452565,0.20463647958464337,51.075268817204304,0.0036328861808565863
GBPUSD,1000,1.9000000000000008,0.10000000000000002,1.2000000000000002,-0.6166216448216619,-2.1884163405770374,-0.0811042381975621,-0.3152121255638827,50.18495684340321,-0.004248536436732994
EURUSD,37000,1.7000000000000006,0.05,2.9000000000000017,2.167387432097785,-31.067562295511596,-1.9836691748064375,0.07704901487187123,29.918032786885245,0.002413955936992604
EURUSD,44000,1.2500000000000004,0.10000000000000002,1.0,-62.77771080036296,-69.68302160316036,-3.451483076572312,-2.115698626426684,57.065217391304344,-0.011660550349472599
EURUSD,40000,0.4,0.05,1.1,-5.956188188547204,-29.37837425914438,-1.2055826786497243,-0.18962015843140045,58.06997742663656,-0.0004374774181979927
EURUSD,25000,1.6500000000000001,0.3000000000000001,2.9000000000000017,24.77956953571629,-34.47282531567243,-1.3350281828325565,0.5265838175456574,28.01724137931034,0.023009493722350702
EURUSD,46000,1.9600000000000002,0.02,1.3000000000000003,55.24076456126712,-22.589237200679634,-1.3094065224186855,0.9374734330700669,48.67807153965785,0.018664838398021955
GBPUSD,5000,1.11,0.02,1.2000000000000002,2.771860869715565,-5.69806506436853,-0.3726919272024787,0.4219792316032227,50.91277890466531,0.005748399973540078
EURUSD,23000,0.76,0.01,1.1,28.51542625877577,-6.0145009092598345,-0.5442962691445792,1.294782626834472,56.43879173290938,0.018926291339007764
EURUSD,16000,1.2100000000000002,0.03,1.9000000000000008,34.83831529188881,-8.92857405827664,-0.5206309929209422,1.2417273124334873,40.89861751152073,0.023995722181273656
EURUSD,3000,1.31,0.02,2.9000000000000017,7.30249272514342,-2.2364879170408747,-0.1116539883486049,1.3425635119695136,32.477064220183486,0.042436279335389855
GBPUSD,3000,0.16000000000000003,0.02,1.1,6.392547402090331,-4.3637941223312655,-0.1339386544208391,0.7742570292023582,58.36631881971932,0.003505868097717141
NZDUSD,8000,0.060000000000000005,0.01,1.4000000000000004,17.176927285719994,-4.474095062224159,-0.17965411042550183,1.7341985083775802,52.92976329064803,0.006802587746167249
AUDUSD,32000,0.26,0.03,1.1,94.99687326585227,-11.785059073045112,-0.47124772686209654,2.2180736617391292,57.621110673493504,0.008782122696309463
USDCAD,5000,1.81,0.11,2.6000000000000014,10.040684360143477,-5.105176948656509,-0.24297806881758985,0.8669875295087641,30.927835051546392,0.0388006466929047
USDCHF,12000,1.7100000000000002,0.04,1.1,35.879360068117435,-6.4292107087184025,-0.3694938539117504,1.5563111958935945,53.396639883126376,0.02374362820438543
USDZAR,6000,0.01,0.01,1.8000000000000007,584.0065237736835,-31.528911083161404,-1.6528950120860733,1.3720819438388108,46.92033293697978,0.012609062117969447
USDNOK,2000,0.76,0.01,2.9000000000000017,81.26090212869119,-28.409347559452847,-0.775220848346737,1.0586625255177182,30.179640718562872,0.04516757440524915
USDSEK,4000,0.7100000000000001,0.02,1.2000000000000002,159.74145355168247,-22.308244588276892,-1.23631860666994,1.2938015199275035,52.80194918203968,0.013102688462592429
