ticker,size,atr_factor,entry_atr_factor,rrr
AUDJPY,850,1.9000000000000012,0.525,2.9
GBPJPY,300,1.8000000000000012,0.7250000000000002,2.25
NZDJPY,800,1.9500000000000013,1.1250000000000004,2.5
CHFJPY,700,1.4500000000000008,0.5,2.95
