ticker,size,atr_factor,entry_atr_factor,rrr,return,max_dd,avg_dd,sharpe,win_rate,expectancy
ETH-USD,0.05,0.34,0.16,2.200000000000001,2.5646251298064016,-0.5365689051569755,-0.0483792635324136,4.543779060496946,53.74449339207048,0.23576888484152161
DOT-USD,0.4,1.9200000000000002,0.43,2.9000000000000017,33.731923244670234,-6.129611750153863,-0.49930093319846375,3.958751226385755,45.346062052505964,0.24163537557935025
SOL-USD,0.05,1.3800000000000001,0.43,2.7000000000000015,5.959300095085215,-1.5011744960919282,-0.08522595671795742,7.02363835929842,42.91938997821351,0.26958606629581927
DOGE-USD,0.1,1.8800000000000001,0.02,2.9000000000000017,7.971804930575338,-1.5549539725245975,-0.12572036012575358,5.055315290999573,39.27576601671309,0.21851159972764364
