ticker,size,atr_factor,entry_atr_factor,rrr,return,max_dd,avg_dd,sharpe,win_rate,expectancy
AUDUSD,32000,0.26,0.03,1.1,94.99687326585229,-11.785059073045112,-0.4712477268620965,2.218073661739129,57.621110673493504,0.0087821226963094
NZDUSD,8000,0.06,0.01,1.4000000000000004,17.176927285719994,-4.474095062224159,-0.1796541104255018,1.7341985083775802,52.92976329064803,0.0068025877461672
USDCHF,12000,1.7100000000000002,0.04,1.1,35.879360068117435,-6.4292107087184025,-0.3694938539117504,1.5563111958935945,53.396639883126376,0.0237436282043854
USDZAR,6000,0.01,0.01,1.8000000000000007,584.0065237736835,-31.528911083161404,-1.6528950120860733,1.3720819438388108,46.92033293697978,0.0126090621179694
EURUSD,23000,0.76,0.01,1.1,28.51542625877577,-6.0145009092598345,-0.5442962691445792,1.294782626834472,56.43879173290938,0.0189262913390077
